dam_id,dam_name,capacity_mcm,c,b,source
id_040003,Aba Al-Hadar,0.141034,0.004622219199902895,1.5558517322403753,regi_multi
id_040004,Aba Al-Rimah,0.101814,0.0069191049357447965,1.5558517322403753,regi_multi
id_040005,Al-Matla' Al-Ayman,0.25,0.0002229536637327833,1.7773689209747907,srtm_derived
id_040006,Qatan,0.28035,0.1062739865308782,1.2285235208690324,srtm_derived
id_040008,Wadi Al-Nakhil,0.107466,0.002906025847652336,1.5558517322403753,regi_multi
id_040009,Abu Jurayfah,0.538464,0.001322671857907156,1.5558517322403753,regi_multi
id_040010,Al-Rubiq,0.5,0.03690186263732722,1.2995142271314337,srtm_derived
id_040012,Dar'ah,0.06,0.002064608320539879,1.5558517322403753,regi_multi
id_040013,Uqlat Al-Suqur,0.712,0.012644058546564044,1.3085850229171412,srtm_derived
id_040014,Al-Fawarah,1.093,0.004279150384318253,1.4281140617684993,srtm_derived
id_040015,Al-Rummah,1.5,0.0007339042914658593,1.5558517322403753,regi_multi
id_040016,Marid,1.3,0.17725803011363928,1.1474289880184874,srtm_derived
id_040017,Bada'ih Al-Hamamin,0.318616,0.0013996375918726392,1.5558517322403753,regi_multi
id_050000,Al-Dhibiyah,5.718024,0.0005726549616292697,1.5558517322403753,regi_multi
id_050001,Hafar Al-Batin,5.503925,0.0008855903623415101,1.5683915471379672,srtm_derived
id_060000,Al-Marah,0.744065,0.0010142826798946302,1.6284372343888651,srtm_derived
id_060001,Al-Hilali,0.99125,0.0014284099314867222,1.5558517322403753,regi_multi
id_060002,Al-Lawiziyah,0.623246,0.0005688564976921299,1.6750850650120153,srtm_derived
id_060003,Uwayj Al-Tal'ah,0.251651,0.0013155744797109592,1.5558517322403753,regi_multi
id_060004,Turif,0.725625,0.03194298415914224,1.326693396581356,srtm_derived
id_060005,Al-Awashaqi,0.7132,0.06957146765628144,1.31032138484814,srtm_derived
id_060006,Gharabah,4.1248,0.001540377253538602,1.5345999312237293,srtm_derived
id_060007,Aba Al-Qur,3.52,0.0004966803528712252,1.6126707455121416,srtm_derived
id_060008,Badanah,4.67875,0.0004008151308775477,1.618927138128015,srtm_derived
id_060009,Ar'ar,10.366,0.02187913815252497,1.3103711661822504,srtm_derived
id_070000,Ayash,1.0,0.008926177594680364,1.535736570197265,srtm_derived
id_070001,Ara'ir,0.963,0.02506860953239985,1.5004225023574291,srtm_derived
id_070002,Al-Gharabah,1.5,0.00015087345004203157,1.9369967563370023,srtm_derived
id_070003,Badwah,2.0,0.43490340381604,1.2611686446909058,srtm_derived
id_070004,Abha,2.13,0.004374445557006051,1.610121219876033,srtm_derived
id_070005,Al-Fawhah,3.0,0.012204701330781102,1.4872832013780675,srtm_derived
id_070006,Tandahah,4.2,6.971543852124543e-06,2.0,srtm_derived
id_070007,Atud Al-Khamis,6.24,0.0017806199023073829,1.5558517322403753,regi_multi
id_070008,Tarjis,9.7138,0.07369932900240614,1.3070498686218845,srtm_derived
id_070009,Marbah,10.0,0.0008119141966459726,1.7113703972664185,srtm_derived
id_070010,Atud,10.0,7.412239955233003e-05,1.9071220826374542,srtm_derived
id_070012,Tabalah,68.41,0.0006047637991712864,1.6494488136820413,srtm_derived
id_070013,Shihanah,0.2711,0.014262778375221854,1.4765209054394057,srtm_derived
id_070014,King Fahad,325.0,0.0018294088983976844,1.5721349375977864,srtm_derived
id_070016,Yabah,80.9133,0.008686669560332804,1.4483344562757812,srtm_derived
id_070017,Shi'b Al-Harajah,0.103108,4.734706061928979e-05,2.0,srtm_derived
id_070018,Al-Qurihah,0.026105,0.0057283070293246054,1.5558517322403753,regi_multi
id_070019,Al-'Aws,0.035,0.01988856628621966,1.5558517322403753,regi_multi
id_070020,Rim,0.05,0.01694322134224968,1.5558517322403753,regi_multi
id_070021,Al-'Asim,0.06,0.0133249774287326,1.5558517322403753,regi_multi
id_070022,Al-Sawdah,0.34,0.008653088805699295,1.5558517322403753,regi_multi
id_070023,Khath'am,0.252,0.008375528283274083,1.5558517322403753,regi_multi
id_070024,Marah,0.325,0.005135840119121935,1.587843604967777,srtm_derived
id_070025,Al-Ramid,0.09,0.006997594640432295,1.5558517322403753,regi_multi
id_070026,Zahrah Bani Bashar,0.1,0.007472609258239067,1.5558517322403753,regi_multi
id_070027,Khidar,0.108,0.009291385613720036,1.5558517322403753,regi_multi
id_070028,Al-'Amal (Zahir),0.11,0.009259533592692108,1.5558517322403753,regi_multi
id_070029,Al Basam,0.0477,0.007034734475488268,1.5558517322403753,regi_multi
id_070030,Bani Qays,0.117,0.014167990127346616,1.5558517322403753,regi_multi
id_070031,Al-Mashrab,0.11117,0.003558357393525397,1.5558517322403753,regi_multi
id_070033,Al-Wuqirah,0.1,0.006374588753036948,1.5558517322403753,regi_multi
id_070034,Tha'abah,0.23,0.013347713183051243,1.5558517322403753,regi_multi
id_070035,Mahlah 'Ar'arah,0.079229,0.013540252515890439,1.5558517322403753,regi_multi
id_070036,Al-Dirham,0.0867,0.012506851417246842,1.5558517322403753,regi_multi
id_070037,Al-Batnah,0.1518,0.07477536603910741,1.3013306319501976,srtm_derived
