dam_id,dam_name,dam_name_arabic,latitude,longitude,region,governorate,watershed_basin,watershed_basin_2,dam_type,status,primary_purpose,current_purpose,dam_length_m,dam_height_m,spillway_height_m,storage_capacity_m3,construction_year
id_130003,Yasan,ياسان,18.0475,43.960833,Najran,Thar,Rub Al-Khali Basin,,concrete,completed,recharge,recharge,97.0,15.0,12.0,233425,2011
id_130004,Al-Salamah,السلامه,17.984722,43.8675,Najran,Badr Al-Janub,Rub Al-Khali Basin,,concrete,completed,recharge,protection,120.0,10.0,6.0,500000,2010
id_130005,Al-Bayadh,البياض,18.330917,43.919107,Najran,Thar,Rub Al-Khali Basin,,earthfill,completed,recharge,protection,235.0,10.0,7.0,243000,2009
id_130006,Al-Maghawi,المغوي,18.274675,43.847868,Najran,Thar,Rub Al-Khali Basin,,concrete,completed,recharge,protection,73.0,13.0,10.0,208340,2016
id_130007,Makish,مخش,18.20774,44.458188,Najran,Thar,Rub Al-Khali Basin,,earthfill,completed,recharge,protection,175.0,11.0,8.0,288000,2011
id_130008,Khadiran,خضيران,18.000556,43.861389,Najran,Badr Al-Janub,Rub Al-Khali Basin,,concrete,completed,recharge,recharge,112.0,13.0,10.0,1000000,2010
id_130009,Al-Mahjar,المحجر,17.851389,43.713889,Najran,Badr Al-Janub,Rub Al-Khali Basin,rainfall_area,earthfill,completed,recharge,recharge,270.0,6.0,4.0,1000000,2002
id_130010,Al-Yatim,اليتم,18.190546,43.879979,Najran,Thar,Rub Al-Khali Basin,,concrete,completed,recharge,protection,111.0,10.0,8.0,300000,2009
id_130011,Makhdab,مخضوب,18.453333,44.093333,Najran,Yadamah,Rub Al-Khali Basin,,earthfill,completed,recharge,recharge,241.0,8.0,5.0,343700,2010
id_130012,Thar,ثار,17.980556,44.002778,Najran,Thar,Rub Al-Khali Basin,,earthfill,completed,recharge,recharge,70.0,12.0,9.0,360000,2004
id_130013,Humayran,حميران,18.013889,43.858056,Najran,Badr Al-Janub,Rub Al-Khali Basin,,concrete,completed,recharge,protection,76.0,20.0,18.0,491830,2016
